1.2249	0.78357	1.1535	2.7882
2.3044	0.11286	1.4712	0.70908
0.47737	1.3509	0.69991	3.1023
1.6498	1.6229	1.0651	2.4511
1.5233	0.78478	1.5128	1.1459
1.4324	1.4314	0.60693	2.0945
1.0571	0.57555	1.7458	2.8235
1.2205	0.12932	1.1067	2.9623
1.9101	0.44399	0.5909	0.59349
1.5728	2.0813	0.43756	1.7666
2.0933	2.1068	1.2121	0.052671
1.4189	1.0468	1.6866	1.2299
0.47141	1.5285	1.9488	2.331
1.2409	1.2789	2.3347	2.9097
2.0347	2.2244	1.1329	0.073785
1.8789	0.98845	1.5806	0.95949
1.3545	2.0434	1.7411	2.1653
0.62194	0.50461	0.415	1.3292
2.3394	2.1656	1.5274	2.9412
0.46951	1.1992	0.41012	0.32818
0.57106	0.73512	1.4543	2.9748
1.4841	1.0853	2.2528	0.48723
1.9483	1.589	0.75106	2.0635
0.17832	0.458	0.55559	0.10818
0.33493	0.5139	1.629	2.7122
0.24584	1.3765	1.9823	2.9135
1.8625	0.49051	1.5002	2.2046
1.6199	2.0518	0.87752	1.0552
1.4332	1.764	0.49424	1.6824
1.4025	2.0199	0.51061	2.4429
1.1355	0.89714	2.1526	0.33661
0.41637	2.1066	0.50884	1.944
1.5068	2.0424	0.30421	2.5533
0.089275	0.68552	0.3421	2.3386
0.55622	1.2039	1.0386	1.4898
2.2354	2.2628	0.85667	2.6997
2.1698	0.77013	1.4358	2.5939
0.84569	2.0204	1.5329	2.2301
1.1941	1.3415	2.2498	0.73503
2.3228	0.24557	1.4147	1.0144
1.4635	1.6077	0.18813	2.356
1.943	0.79862	0.8699	0.15679
2.0011	2.2832	1.206	3.1138
0.44348	1.6642	1.0952	1.7664
1.8613	1.3204	0.57725	1.9003
2.1257	2.082	1.1652	2.9116
0.68401	0.64299	0.83194	2.8416
1.4762	0.61493	1.1633	2.0665
0.76242	1.2476	1.4487	1.2368
1.5791	0.66696	1.7079	1.9192
